id,name,url,description,datePublished,intendedEndUserRole,educationalUse,timeRequired,typicalAgeRange,interactivityType,learningResourceType,interactionCount,keywords,useRightUrl,author_1_name,publisher_1_name,publisher_1_url,educationalAlignment_1_id,educationalAlignment_1_alignmentType,educationalAlignment_1_educationalFramework,educationalAlignment_1_targetName,educationalAlignment_1_targetDescription,educationalAlignment_1_targetUrl,educationalAlignment_2_id,educationalAlignment_2_alignmentType,educationalAlignment_2_educationalFramework,educationalAlignment_2_targetName,educationalAlignment_2_targetDescription,educationalAlignment_2_targetUrl,educationalAlignment_3_id,educationalAlignment_3_alignmentType,educationalAlignment_3_educationalFramework,educationalAlignment_3_targetName,educationalAlignment_3_targetDescription,educationalAlignment_3_targetUrl
http://www.khanacademy.org/video/dividing-monomials,Dividing Monomials,http://www.khanacademy.org/video/dividing-monomials,,2/20/11,"Student,Parent",Comparing,P15M,"10-12,12-14,14-16","active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes",monomials,http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/dividing-polynomials-1,Dividing polynomials 1,http://www.khanacademy.org/video/dividing-polynomials-1,,2/21/12,Teacher,"Classifying,Comparing",P20M,10-12,"active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes",math,http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"""Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.""",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/dividing-polynomials-with-remainders,Dividing polynomials with remainders,http://www.khanacademy.org/video/dividing-polynomials-with-remainders,,2/22/12,"Student,Parent",Classifying,P15M,12-14,"active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes",division,http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/evaluating-exponential-expressions,Evaluating exponential expressions,http://www.khanacademy.org/video/evaluating-exponential-expressions,,2/23/12,Teacher,"Classifying,Comparing",P25M,14-16,"active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes",fractions,http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/evaluating-exponential-expressions-2,Evaluating exponential expressions 2,http://www.khanacademy.org/video/evaluating-exponential-expressions-2,,3/12/12,Student,Classifying,P15M,"10-12,12-14,14-16","active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes","U05_L1_T3_we3,Inequalities,CC_6_EE_6,CC_6_EE_8,CC_7_EE_4",http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/exponent-properties-1,Exponent Properties 1,http://www.khanacademy.org/video/exponent-properties-1,,2/2/12,"Student,Parent","Classifying,Comparing",P15M,"10-12,12-14,14-16","active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes","U05_L1_T3_we3,Inequalities,CC_6_EE_6,CC_6_EE_8,CC_7_EE_4",http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/exponent-properties-2,Exponent Properties 2,http://www.khanacademy.org/video/exponent-properties-2,,3/3/12,Parent,Classifying,P30M,"10-12,12-14,14-16","active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes","U05_L1_T3_we3,Inequalities,CC_6_EE_6,CC_6_EE_8,CC_7_EE_4",http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/exponent-properties-3,Exponent Properties 3,http://www.khanacademy.org/video/exponent-properties-3,,4/4/12,"Student,Parent","Classifying,Comparing",P15M,"10-12,12-14,14-16","active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes","U05_L1_T3_we3,Inequalities,CC_6_EE_6,CC_6_EE_8,CC_7_EE_4",http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,,,,,,,,,,,,
http://www.khanacademy.org/video/exponent-properties-4,Exponent Properties 4,http://www.khanacademy.org/video/exponent-properties-4,,5/3/12,"Student,Parent",Classifying,P15M,"10-12,12-14,14-16","active,expositive","Calculator,E-Mail","18580 UserPlays, 1024 UserLikes","U05_L1_T3_we3,Inequalities,CC_6_EE_6,CC_6_EE_8,CC_7_EE_4",http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
http://www.khanacademy.org/video/exponent-properties-5,Exponent Properties 5,http://www.khanacademy.org/video/exponent-properties-5,,2/22/12,"Student,Parent",Comparing,P15M,"10-12,12-14,14-16",active,"Calculator,E-Mail",123 UserPlays,math,http://creativecommons.org/licenses/by-nc-nd/3.0/,Sal Khan,Khan Academy,http://www.khanacademy.org,666AA11DF39241C68112FFBE28D811C4,teaches,Common Core State Standards,,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number\, or\, depending on the purpose at hand\, any number in a specified set.",http://corestandards.org/Math/Content/6/EE/B/6,3C3333C32A6E4223B2FAC1577642617E,teaches,Common Core State Standards,CCSS.Math.Content.6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",http://corestandards.org/Math/Content/6/EE/9,,,,,,
