url,name,description,inLanguage,publisher_name,keywords,learningResourceType,author_name,dateCreated,intendedEndUserRole,educationalUse,timeRequired,typicalAgeRange,interactivityType,useRightUrl,provider_name,provider_url,
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/v/exponent-rules-part-1,Exponent Rules Part 1 ,Introduction to exponent rules,en,Khan Academy,"multiplication, polynomials",Video,Sal Khan,2/20/11,"Student,Parent",Comparing,P6M,"10-12,12-14",expositive,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/v/exponent-rules-part-2,Exponent Rules Part 2 ,2 more exponent rules with an introduction to composite problems,en,Khan Academy,,Video,Sal Khan,2/20/11,"Student,Parent",,P6M,"10-12,12-14",expositive,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/e/exponent_rules,Exponent Rules,"Solve exponent problems by adding, subtracting, or multiplying exponents.",en,Khan Academy,,Quiz,Sal Khan,2/20/11,Student,,P5M,"10-12,12-14",active,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/v/finding-cube-roots,Finding Cube Roots,Finding Cube Roots,en,Khan Academy,"multiplication, polynomials",Video,Sal Khan,2/21/12,Student,"Classifying,Comparing",P6M,12-14,expositive,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/v/simplifying-cube-roots-1,Cube root of a non-perfect cube,,en,Khan Academy,,Video,Sal Khan,2/21/12,Student,,P6M,12-14,expositive,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/e/cube_roots,Cube roots,Find the cube root of a perfect cube positive integer.,en,Khan Academy,,Quiz,Sal Khan,2/21/12,Student,,P5M,12-14,active,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/v/orders-of-magnitude-exercise-example-1,Orders of magnitude exercise example 1 ,,en,Khan Academy,"multiplication, expressions",Video,,2/28/12,Student,"Classifying,Comparing",P6M,"12-14,14-16","active,expositive",http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/v/orders-of-magnitude-exercise-example-2,Orders of magnitude exercise example 2,,en,Khan Academy,,Video,,2/28/12,Student,,P6M,"12-14,14-16","active,expositive",http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/e/orders-of-magnitude,Orders of magnitude,,en,Khan Academy,,Quiz,,2/28/12,Student,,P5M,"12-14,14-16",active,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,
http://www.goorulearning.org/#resource-play&id=fe3fc7e9-70cd-4130-8495-ef20fab3a023&pn=resource,Perfect Cubes and Cube Roots,Identify and practice perfect cubes and how to find cube roots,en,LearnZillion,,Video,,11/21/11,Student,,P5M,12-14,active,http://creativecommons.org/licenses/by-nc-nd/3.0/,Gooru Learning,http://www.goorulearning.org,
http://www.oercommons.org/courses/abstract-expressionism-pollock-s-one-number-31-1950-2,"Abstract Expressionism Pollock's One: Number 31, 1950","This art history video discussion examines Jackson Pollock's ""One: Number 31"", 1950, Oil and enamel paint on unprimed canvas, 1950 (MoMA).",en,Khan Academy,,Video,,,Student,,P8M,12-14,expositive,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,OER Commons,http://www.oercommons.org,
