url,alignmentType,educationalFramework,targetName,targetUrl
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/v/exponent-rules-part-1,teaches,Common Core State Standards,CCSS.Math.8.EE.A.1,http://corestandards.org/Math/Content/8/EE/A/1
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/v/exponent-rules-part-2,teaches,Common Core State Standards,CCSS.Math.8.EE.A.1,http://corestandards.org/Math/Content/8/EE/A/1
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/e/exponent_rules,assesses,Common Core State Standards,CCSS.Math.8.EE.A.1,http://corestandards.org/Math/Content/8/EE/A/1
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/v/finding-cube-roots,teaches,Common Core State Standards,CCSS.Math.8.EE.A.2,http://corestandards.org/Math/Content/8/EE/A/2
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/v/simplifying-cube-roots-1,teaches,Common Core State Standards,CCSS.Math.8.EE.A.2,http://corestandards.org/Math/Content/8/EE/A/2
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/e/cube_roots,assesses,Common Core State Standards,CCSS.Math.8.EE.A.2,http://corestandards.org/Math/Content/8/EE/A/2
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/v/orders-of-magnitude-exercise-example-1,teaches,Common Core State Standards,CCSS.Math.8.EE.A.3,http://corestandards.org/Math/Content/8/EE/A/3
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/v/orders-of-magnitude-exercise-example-2,teaches,Common Core State Standards,CCSS.Math.8.EE.A.3,http://corestandards.org/Math/Content/8/EE/A/3
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/e/orders-of-magnitude,assesses,Common Core State Standards,CCSS.Math.8.EE.A.3,http://corestandards.org/Math/Content/8/EE/A/3
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/v/exponent-rules-part-1,teaches,US K-12 Grade Levels,Grade 8,
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/v/exponent-rules-part-2,teaches,US K-12 Grade Levels,Grade 8,
http://www.khanacademy.org/math/arithmetic/exponents-radicals/exponent-properties/e/exponent_rules,assesses,US K-12 Grade Levels,Grade 8,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/v/finding-cube-roots,teaches,US K-12 Grade Levels,Grade 8,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/v/simplifying-cube-roots-1,teaches,US K-12 Grade Levels,Grade 8,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/cube-root-tutorial/e/cube_roots,assesses,US K-12 Grade Levels,Grade 8,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/v/orders-of-magnitude-exercise-example-1,teaches,US K-12 Grade Levels,Grade 8,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/v/orders-of-magnitude-exercise-example-2,teaches,US K-12 Grade Levels,Grade 8,
https://www.khanacademy.org/math/arithmetic/exponents-radicals/orders-of-magnitude/e/orders-of-magnitude,assesses,US K-12 Grade Levels,Grade 8,
http://www.goorulearning.org/#resource-play&id=fe3fc7e9-70cd-4130-8495-ef20fab3a023&pn=resource,teaches,Common Core State Standards,CCSS.Math.8.NS.A.1,http://corestandards.org/Math/Content/8/NS/A/3
http://www.goorulearning.org/#resource-play&id=fe3fc7e9-70cd-4130-8495-ef20fab3a023&pn=resource,teaches,US K-12 Grade Levels,Grade 8,
